id, value
1000, 1
16, 1
21, 1
300, 1
9, 1
AGAIN, 1
AH, 1
AIR, 1
Action, 1
Affair, 1
Ago, 1
Allright, 1
Amazing, 1
Ang, 1
BREAK, 1
Babe, 1
Back, 1
Bang, 1
Blame, 1
Blues, 1
Break, 1
CAT, 1
CATS, 1
CRACK, 1
CRUSH, 1
Car, 1
Chant, 1
Chic, 1
Child, 1
Close, 1
Cryin, 1
DA, 1
DESTINY, 1
Distance, 1
Drive, 1
Dry, 1
E, 1
EGO, 1
EVERY, 1
Each, 1
Eat, 1
Every, 1
Everything, 1
Everytime, 1
FOR, 1
FREE, 1
Fade, 1
Fascination, 1
FearOh, 1
Feed, 1
Flag, 1
Friends, 1
From, 1
Funky, 1
GAME, 1
GIVVE, 1
GOING, 1
GYM, 1
Gentle, 1
Guts, 1
HAZE, 1
HEY, 1
HORSE, 1
Haze, 1
Heaven, 1
Heavy, 1
Hip, 1
History, 1
Home, 1
Illusions, 1
Invitation, 1
Itsuka, 1
JAP, 1
JOB, 1
Jump, 1
KIDS, 1
KING, 1
KISSSee, 1
KO, 1
Kaminomanimani, 1
KaminomanimaniLONG, 1
Know, 1
L, 1
LIVE, 1
LOSER, 1
LOVING, 1
Last, 1
Latin, 1
Leaders, 1
Life, 1
Lock, 1
LockLet, 1
Loneliness, 1
Long, 1
Lots, 1
MAIL, 1
MISS, 1
MONDAY, 1
MORNIG, 1
MR, 1
MUCH, 1
Magic, 1
Makin, 1
May, 1
Moon, 1
Moonlight, 1
Movin, 1
Music, 1
Mv, 1
NAVIGATIONHands, 1
NOTHING, 1
Name, 1
Neon, 1
OK, 1
OOH, 1
OOOH, 1
OR, 1
Off, 1
Only, 1
Ooh, 1
Or, 1
Orange, 1
Other, 1
Our, 1
PAIN, 1
PURPLE, 1
Party, 1
Playing, 1
Pull, 1
Purple, 1
RAP, 1
RIDING, 1
RIPPER, 1
ROLLOMG, 1
Radio, 1
Rain, 1
Rainy, 1
Really, 1
Red, 1
SAY, 1
SEE, 1
SHA, 1
SHAKE, 1
SHINE, 1
SIZE, 1
SUN, 1
Sad, 1
Same, 1
Saturday, 1
Save, 1
Say, 1
Seventeen, 1
Shape, 1
ShowTime, 1
Slender, 1
Smile, 1
Somebody, 1
Sometimes, 1
Sorrow, 1
Standing, 1
Stare, 1
Still, 1
Stop, 1
Stranger, 1
Stream, 1
THUNDER, 1
Taxi, 1
That, 1
They, 1
Thinking, 1
Throw, 1
UH, 1
UP, 1
Uncivilized, 1
VERY, 1
WE, 1
WEEKEND, 1
WIND, 1
WITH, 1
Walking, 1
Was, 1
Watching, 1
Will, 1
YES, 1
Year, 1
Years, 1
aching, 1
ago, 1
allrightWake, 1
almost, 1
ang, 1
angel, 1
asleep, 1
attention, 1
bad, 1
badnews, 1
bitter, 1
blues, 1
boring, 1
breathe, 1
broadway, 1
busy, 1
cannot, 1
cast, 1
casual, 1
catch, 1
cause, 1
changed, 1
cheer, 1
chime, 1
choice, 1
closer, 1
clump, 1
comes, 1
communicationThought, 1
conversation, 1
cooking, 1
cooling, 1
country, 1
d, 1
dancing, 1
destination, 1
direction, 1
doing, 1
dress, 1
drive, 1
dumadaan, 1
even, 1
ever, 1
evil, 1
excess, 1
fade, 1
fault, 1
fears, 1
feeling, 1
feet, 1
fist, 1
floor, 1
friends, 1
funky, 1
game, 1
gave, 1
god, 1
graduate, 1
green, 1
gripping, 1
growing, 1
guess, 1
guy, 1
h, 1
hang, 1
hangin, 1
happens, 1
happy, 1
haze, 1
hiding, 1
him, 1
hold, 1
holds, 1
hot, 1
how, 1
ikaw, 1
incomplete, 1
itsura, 1
joy, 1
jump, 1
keeping, 1
keys, 1
kill, 1
killing, 1
kind, 1
kong, 1
lagi, 1
laging, 1
last, 1
laugh, 1
laughter, 1
learned, 1
left, 1
lies, 1
lifeLiving, 1
listen, 1
lot, 1
loud, 1
luck, 1
maalala, 1
madness, 1
main, 1
making, 1
masarap, 1
meHands, 1
meRain, 1
mean, 1
memory, 1
mess, 1
missin, 1
missing, 1
mistakes, 1
modern, 1
movin, 1
mystify, 1
nagiiba, 1
needs, 1
neon, 1
news, 1
ng, 1
nights, 1
nobody, 1
non, 1
nothin, 1
nowhere, 1
old, 1
ooh, 1
painted, 1
paralyzed, 1
part, 1
party, 1
passing, 1
past, 1
pay, 1
peace, 1
pick, 1
pickin, 1
play, 1
poor, 1
pretty, 1
prove, 1
raindrops, 1
raise, 1
ready, 1
realize, 1
reason, 1
revelation, 1
revolution, 1
romance, 1
roots, 1
run, 1
running, 1
same, 1
sand, 1
saying, 1
school, 1
scream, 1
searching, 1
season, 1
senses, 1
share, 1
sighs, 1
silver, 1
since, 1
sing, 1
situation, 1
skin, 1
smile, 1
some, 1
someone, 1
sorry, 1
space, 1
spot, 1
step, 1
steps, 1
stiches, 1
stimulation, 1
sting, 1
strange, 1
stranger, 1
stump, 1
style, 1
suffering, 1
summer, 1
sunlight, 1
sunshine, 1
survive, 1
sweetCrush, 1
talkin, 1
taught, 1
then, 1
these, 1
thread, 1
tired, 1
town, 1
trip, 1
trouble, 1
trump, 1
turning, 1
twist, 1
ulap, 1
um, 1
use, 1
very, 1
wah, 1
wasting, 1
weight, 1
wherever, 1
while, 1
whisper, 1
whistle, 1
white, 1
windows, 1
within, 1
woman, 1
woo, 1
yan, 1
yin, 1
ymore, 1
young, 1
yourself, 1
ぁ, 1
あいかわら, 1
あいかわらず, 1
あいそ, 1
あいだ, 1
あいまい, 1
あう, 1
あえない, 1
あえなかっ, 1
あか, 1
あがら, 1
あがり, 1
あきまへん, 1
あきる, 1
あきれ, 1
あきれかえっ, 1
あく, 1
あくる日, 1
あけろ, 1
あこがれ, 1
あさる, 1
あざ笑う, 1
あずけ, 1
あずける, 1
あせ, 1
あせばん, 1
あせり, 1
あそこ, 1
あたし, 1
あたる, 1
あちこち, 1
あっけなく, 1
あったか, 1
あっち, 1
あなどれ, 1
あばれろ, 1
あびよ, 1
あみだし, 1
あやしい, 1
あやす, 1
あやまち, 1
あやまっ, 1
あやまる, 1
あら, 1
あらわ, 1
あらわれ, 1
あらわれる, 1
ありがと, 1
あれこれ, 1
あろ, 1
あわて, 1
あんた, 1
いいかげん, 1
いいふらし, 1
いかさま, 1
いかし, 1
いかつい, 1
いが, 1
いくじ, 1
いけ, 1
いじくれ, 1
いじめる, 1
いそがしく, 1
いたく, 1
いたずら, 1
いただけ, 1
いたれ, 1
いたわる, 1
いっさい, 1
いっとき, 1
いつのまに, 1
いつわっ, 1
いつわり, 1
いとこ, 1
いなか, 1
いのっ, 1
いばり, 1
いふ, 1
いまいち, 1
いまだに, 1
いよいよ, 1
いらだつ, 1
いりゃ, 1
いわゆる, 1
いん, 1
うい, 1
うか, 1
うかがう, 1
うかがっ, 1
うかつ, 1
うかぶ, 1
うかれ, 1
うかん, 1
うけつけよ, 1
うけとめ, 1
うける, 1
うごめく, 1
うさ, 1
うさん, 1
うしろめたい, 1
うす, 1
うずき, 1
うずめる, 1
うそぶい, 1
うたう, 1
うたえ, 1
うたぐり, 1
うだる, 1
うちのめす, 1
うっかり, 1
うつむき, 1
うつろ, 1
うて, 1
うなされ, 1
うなずか, 1
うなずけ, 1
うなだれ, 1
うなだれる, 1
うなる, 1
うぬぼれる, 1
うねり, 1
うま, 1
うめい, 1
うらぎり, 1
うらやん, 1
うるさく, 1
うれしい, 1
うろつい, 1
うろつく, 1
うわ言, 1
うん, 1
ええ, 1
えぐる, 1
えっちらおっちら, 1
おい, 1
おいで, 1
おお, 1
おおっ, 1
おかあさん, 1
おかしい, 1
おかしく, 1
おかしな, 1
おがま, 1
おごら, 1
おさめ, 1
おしえ, 1
おして, 1
おしよせる, 1
おじけづい, 1
おじさん, 1
おせっかい, 1
おそかっ, 1
おとうさん, 1
おとし, 1
おとしめ, 1
おとなしく, 1
おどける, 1
おなか, 1
おはよう, 1
おぶさっ, 1
おぼれる, 1
おまかせ, 1
おめでとう, 1
おもい, 1
おもいきっ, 1
おもいきり, 1
おもいで, 1
おもう, 1
おりる, 1
おろし, 1
おんぼろ, 1
お決まり, 1
お飾り, 1
お立ち台, 1
かえし, 1
かえっ, 1
かえよ, 1
かえり, 1
かえれ, 1
かおる, 1
かかえこん, 1
かから, 1
かかる, 1
かかれ, 1
かきたてる, 1
かきむしる, 1
かきわけ, 1
かき消さ, 1
かき鳴らせ, 1
かぎっ, 1
かく, 1
かくして, 1
かけあわし, 1
かけぬけ, 1
かけはなれ, 1
かけまわる, 1
かける, 1
かざっ, 1
かし, 1
かしこ, 1
かじり, 1
かすみ, 1
かすむ, 1
かすり, 1
かぞえ, 1
かたく, 1
かたくな, 1
かため, 1
かっこいい, 1
かない, 1
かなえろ, 1
かなしい, 1
かなっ, 1
かならず, 1
かまっ, 1
かみつい, 1
かみ合わ, 1
かむ, 1
かよわい, 1
からくり, 1
からっぽ, 1
からま, 1
からみつく, 1
かるい, 1
かわいそう, 1
かわす, 1
かわっ, 1
かわゆい, 1
かわら, 1
がき, 1
がまん強く, 1
がめつい, 1
がらくた, 1
がんばり, 1
がんばりゃ, 1
がんばる, 1
きつく, 1
きびしい, 1
きまっ, 1
きまり, 1
きめ, 1
きゃく, 1
きらきら, 1
きらめく, 1
きれる, 1
きわだた, 1
きわどい, 1
ぎ, 1
ぎこちない, 1
ぎないものひとつだきしめたいよ, 1
ぎゅっと, 1
ぎょうさん, 1
ぎらぎら, 1
ぎらつか, 1
く, 1
くいしばっ, 1
くくっ, 1
くくろ, 1
くぐっ, 1
くさい, 1
くさり, 1
くすぶる, 1
くず, 1
くずれおち, 1
くたくた, 1
くたびれ, 1
くちびる, 1
くっ, 1
くっつく, 1
くびれ, 1
くま, 1
くみ, 1
くやし涙, 1
くりかえさ, 1
くるまれ, 1
ぐしょぐしょ, 1
ぐらぐら, 1
けがれ, 1
けしかける, 1
けっこう, 1
けとばし, 1
けむり, 1
ける, 1
けわしく, 1
こういう, 1
こころなし, 1
こしらえ, 1
こじんまり, 1
こすっ, 1
こすれ, 1
こだわり, 1
こびりつい, 1
こぼれ落ちる, 1
こまり, 1
こみあげる, 1
こらえる, 1
ころがっ, 1
ころがれよ, 1
ころん, 1
こわかっ, 1
こわがっ, 1
こわがら, 1
こわせる, 1
こわれよ, 1
こんなふうに, 1
ごったがえし, 1
ごまかせ, 1
ごらん, 1
ご存知, 1
さかな, 1
さがす, 1
さぐりあう, 1
さぐる, 1
さぐれ, 1
さけ, 1
ささい, 1
さして, 1
さぞ, 1
さまざま, 1
さまし, 1
さまよい, 1
さむい, 1
さら, 1
さらす, 1
さらっ, 1
さらわ, 1
さわり, 1
さわる, 1
ざっくり, 1
ざわつき, 1
ざわめく, 1
しあわせ, 1
しい, 1
しいら, 1
しかた, 1
しかめ, 1
しかれ, 1
しきる, 1
しくみ, 1
しぐさ, 1
しこたま, 1
したら, 1
しっこし, 1
しっぺ, 1
しっぽ, 1
しつこい, 1
しつこく, 1
しなさ, 1
しなる, 1
しのぎ, 1
しぶとい, 1
しぶとく, 1
しぼみ, 1
しぼむ, 1
しぼる, 1
しまい, 1
しまお, 1
しみる, 1
しみわたる, 1
しゃしゃりで, 1
しゃべら, 1
しゅく, 1
しょ, 1
しょいこま, 1
しょいこん, 1
しょっぱい, 1
しょっぱく, 1
しり, 1
しわ, 1
じし, 1
じつは, 1
じゃま, 1
じゃれ, 1
じゅん, 1
じょうず, 1
じりじり, 1
じん, 1
すいこま, 1
すがすがしく, 1
すがりつい, 1
すぎる, 1
すくむ, 1
すくわ, 1
すこぶる, 1
すごし, 1
すすめる, 1
すする, 1
すすん, 1
すずし, 1
すそ, 1
すたる, 1
すっと, 1
すっとぶ, 1
すっぱい, 1
すてき, 1
すてろ, 1
すでに, 1
すねる, 1
すばらしい, 1
すべり, 1
すまさ, 1
すまし, 1
すみ, 1
すり, 1
すりかえ, 1
すり減らし, 1
すり抜け, 1
すれちがっ, 1
すれ違い, 1
すわっ, 1
ずっこけ, 1
ずる, 1
せいいっぱい, 1
せせら笑い, 1
せせら笑っ, 1
せっせ, 1
せつな, 1
せり, 1
せわしい, 1
ぜひとも, 1
ぜんぶ, 1
そい, 1
そういや, 1
そえ, 1
そこで, 1
そこら, 1
そそい, 1
そっち, 1
そらし, 1
それから, 1
ぞっと, 1
ぞろぞろ, 1
たいして, 1
たいらげ, 1
たおし, 1
たおれ, 1
たかい, 1
たかが, 1
たがい, 1
たぐい, 1
たけ, 1
たずね, 1
たた, 1
たたか, 1
たたきこめ, 1
たたずむ, 1
ただただ, 1
ただよう, 1
たちのぼる, 1
たちゃ, 1
たつ, 1
たてかけ, 1
たてる, 1
たとえ, 1
たどりつい, 1
たどりつける, 1
たどり着い, 1
たどり着け, 1
たばこ, 1
たびだち, 1
たまえ, 1
たまっ, 1
たまら, 1
たまる, 1
ためらわ, 1
たもて, 1
たゆたう, 1
たよれ, 1
たらたら, 1
たり, 1
だいたい, 1
だこ, 1
だし, 1
ちかづい, 1
ちかよら, 1
ちぎっ, 1
ちっちゃな, 1
ちゃ, 1
ちゃえ, 1
ちゃかす, 1
ちょう, 1
ちょうど, 1
ちょん, 1
ちよ, 1
ちらかさ, 1
ちらかし, 1
ちらちら, 1
ちらり, 1
ちりばめ, 1
ついて, 1
ついていけ, 1
ついで, 1
つかえ, 1
つかし, 1
つかす, 1
つかまえろ, 1
つかめ, 1
つかれ, 1
つかれる, 1
つかれ果て, 1
つきあっ, 1
つきすすむ, 1
つきまとっ, 1
つき刺さる, 1
つぎこん, 1
つくし, 1
つくせ, 1
つくっ, 1
つくり笑い, 1
つけよ, 1
つっこま, 1
つっこも, 1
つっこん, 1
つっぱる, 1
つつん, 1
つづ, 1
つづい, 1
つとめ, 1
つながら, 1
つなご, 1
つのら, 1
つば, 1
つぶさ, 1
つぶしあい, 1
つぶっ, 1
つぶやか, 1
つぶやく, 1
つぶれる, 1
つま, 1
つまずか, 1
つまっ, 1
つまり, 1
つまんない, 1
つま先立ち, 1
つもっ, 1
つもれ, 1
つよ, 1
つよく, 1
つら, 1
つらく, 1
つらぬい, 1
つらぬく, 1
つるま, 1
つれあう, 1
つれない, 1
つんのめっ, 1
づい, 1
づか, 1
づけ, 1
づまる, 1
てくてく, 1
てこ, 1
てる, 1
でしゃばる, 1
でっかく, 1
でっち上げ, 1
とうとう, 1
とがっ, 1
ときゃ, 1
とける, 1
とこしえ, 1
としい, 1
とどき, 1
とどまれ, 1
とば, 1
とばそ, 1
とびこむ, 1
とびこめ, 1
とびのっ, 1
とび出, 1
とまどい, 1
とまる, 1
とめどなく, 1
とめる, 1
ともあれ, 1
ともし, 1
ともそ, 1
ともる, 1
とらわれ, 1
とり, 1
とりあお, 1
とりかこむ, 1
とりつか, 1
とりつく, 1
とりはずせ, 1
とわ, 1
とんがり, 1
とんでも, 1
どうにか, 1
どか, 1
どぎつい, 1
どす黒い, 1
どなた, 1
なかれ, 1
なかろ, 1
ながし, 1
ながす, 1
ながれ, 1
なぐさめ, 1
なぐっ, 1
なけなし, 1
なさけ, 1
なする, 1
なぞ, 1
なぞる, 1
なぞれ, 1
なだれ込み, 1
なつかしい, 1
なでる, 1
ななめ, 1
なびか, 1
なまくら, 1
なまけ, 1
なまけもの, 1
なまぬるい, 1
なめ, 1
なめらか, 1
なめる, 1
ならさ, 1
ならべ, 1
なんて, 1
におい, 1
にぎっ, 1
にぎやか, 1
にぎりしめ, 1
にぎりしめよ, 1
にぎりしめる, 1
にぎる, 1
にこやか, 1
にごす, 1
にごらせ, 1
にじま, 1
にべ, 1
にらむ, 1
にわかに, 1
にんまり, 1
ぬか, 1
ぬかす, 1
ぬぎ, 1
ぬぐっ, 1
ぬっ, 1
ぬりつぶす, 1
ねぎらい, 1
ねころん, 1
ねだり, 1
ねちねち, 1
ねむい, 1
ねらい, 1
ねりあるい, 1
のぞい, 1
のぞきこむ, 1
のぞけ, 1
のぞける, 1
のぞみ, 1
のたうちまわっ, 1
のち, 1
のっかっ, 1
ののしりゃ, 1
のばす, 1
のばせ, 1
のぼり, 1
のみこん, 1
のむ, 1
のめさ, 1
のめりこめ, 1
のめり込ん, 1
のり, 1
のる, 1
のろけ, 1
のろのろ, 1
はいだし, 1
はいっ, 1
はが, 1
はがす, 1
はけ, 1
はげしい, 1
はしゃぎ, 1
はしゃぐ, 1
はじ, 1
はじめりゃ, 1
はじめる, 1
はずかし, 1
はずかしかっ, 1
はずし, 1
はたい, 1
はたち, 1
はたらき, 1
はつ, 1
はで, 1
はなさ, 1
はなて, 1
はなやい, 1
はね, 1
はねかえす, 1
はばま, 1
はまら, 1
はまる, 1
はみだし, 1
はみだす, 1
はめよ, 1
はらい, 1
はらし, 1
はりかえ, 1
はれ, 1
はろ, 1
ば, 1
ばか, 1
ばった, 1
ばらまけ, 1
ばれ, 1
ばれる, 1
ぱらぱら, 1
ひからび, 1
ひき, 1
ひきかえ, 1
ひきこもれ, 1
ひきずら, 1
ひきずり, 1
ひきもどす, 1
ひきょう, 1
ひきよせる, 1
ひざまずい, 1
ひしめく, 1
ひそめ, 1
ひっかける, 1
ひっくりかえせ, 1
ひっくりかえれ, 1
ひっくるめ, 1
ひっぱっ, 1
ひっぱり, 1
ひとすじ, 1
ひとつひとつ, 1
ひどい, 1
ひどく, 1
ひねりだす, 1
ひび, 1
ひも, 1
ひやかさ, 1
ひやす, 1
ひらく, 1
ひ弱い, 1
び, 1
びしげな, 1
びしょ濡れ, 1
びびっ, 1
びょう, 1
びん, 1
ふえ, 1
ふか, 1
ふかし, 1
ふきこむ, 1
ふきだし, 1
ふきとば, 1
ふきとばし, 1
ふきとばそ, 1
ふくらむ, 1
ふくれあがる, 1
ふけ, 1
ふさぎこん, 1
ふさわしい, 1
ふざけ, 1
ふしだら, 1
ふたつ, 1
ふちどる, 1
ふっ, 1
ふつう, 1
ふとした, 1
ふみ, 1
ふみたおし, 1
ふみださ, 1
ふみだせよ, 1
ふらつか, 1
ふらつき, 1
ふり, 1
ふりかざす, 1
ふりかざそ, 1
ふりきる, 1
ふりはらい, 1
ふる, 1
ふるまえ, 1
ふるわせ, 1
ふれあう, 1
ぶくぶく, 1
ぶち, 1
ぶち壊さ, 1
ぶつかっ, 1
ぶつける, 1
ぶらさげ, 1
ぶるぶる, 1
へこたれ, 1
へる, 1
べったり, 1
べっとり, 1
ほうりださ, 1
ほこり, 1
ほざい, 1
ほっと, 1
ほっぺた, 1
ほとんど, 1
ほど遠い, 1
ほのか, 1
ほほえむ, 1
ほろほろ, 1
ほろ苦い, 1
ほろ酔い, 1
ほん, 1
ぼうっと, 1
ぼちぼち, 1
ぼとぼと, 1
ぼやい, 1
ぼやける, 1
ぼる, 1
ぼろぼろ, 1
ぼんやり, 1
まぁ, 1
まいこん, 1
まいっ, 1
まかし, 1
まきちらし, 1
まぎれこん, 1
まくら, 1
まけ, 1
まさお, 1
まさぐる, 1
まじ, 1
まじわり, 1
またし, 1
またもや, 1
まちがえ, 1
まっただ中, 1
まとう, 1
まとっ, 1
まとまる, 1
まとめ, 1
まとわ, 1
まとわりつい, 1
まとわりつか, 1
まどわさ, 1
まばら, 1
まぶしく, 1
まま, 1
まみれる, 1
まもっ, 1
まゆ, 1
まるっきり, 1
まれ, 1
まわ, 1
まわす, 1
まんべんなく, 1
まんま, 1
まん中, 1
みかえす, 1
みずみずしい, 1
みせろ, 1
みだせ, 1
みつけ, 1
みつめ, 1
みなぎっ, 1
みなぎる, 1
みる, 1
みるみる, 1
むい, 1
むきあい, 1
むきゃ, 1
むこ, 1
むしろ, 1
むずむず, 1
むせび泣い, 1
むなしく, 1
むりこく, 1
むりやり, 1
めくっ, 1
めくり, 1
めくるめく, 1
めくれ, 1
めくろ, 1
めざし, 1
めちゃくちゃ, 1
めったに, 1
めまい, 1
めまぐるしく, 1
めんど, 1
もぎ, 1
もしかして, 1
もた, 1
もたし, 1
もだえる, 1
もち, 1
もちかける, 1
もつれ, 1
もてあそび, 1
もてはやさ, 1
もてる, 1
もどかし, 1
もどかしい, 1
もぬけの殻, 1
もの, 1
ものすごい, 1
ものすごく, 1
もらさ, 1
もん, 1
ゃいつでも, 1
ゃそれでいいや, 1
ゃべりなよだれにいくら, 1
ゃまずいんじゃないの, 1
ゃらちゃらしてろよ, 1
やかましい, 1
やきつい, 1
やきつけ, 1
やけど, 1
やける, 1
やすらぎ, 1
やっかい, 1
